,Ward Code,Ward Name,District Code,District Name,Province/City Code,Province/City Name,Latitude,Longitude
99,27016,Phường Sơn Kỳ,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,804389","106,617572"
100,27019,Phường Tân Quý,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,79404","106,622143"
101,27022,Phường Tân Thành,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,791069","106,634543"
102,27025,Phường Phú Thọ Hòa,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,785725","106,627722"
103,27028,Phường Phú Thạnh,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,779833","106,62682"
104,27031,Phường Phú Trung,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,775575","106,641497"
105,27034,Phường Hòa Thạnh,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,778168","106,636949"
106,27037,Phường Hiệp Tân,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,771676","106,627368"
107,27040,Phường Tân Thới Hòa,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,763702","106,631026"
108,27043,Phường 04,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,807371","106,679601"
109,27046,Phường 05,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,806191","106,683726"
110,27049,Phường 09,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,805045","106,674535"
111,27052,Phường 07,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,80004","106,689785"
112,27055,Phường 03,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,802303","106,681571"
113,27058,Phường 01,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,798703","106,682806"
114,27061,Phường 02,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,797453","106,686837"
115,27064,Phường 08,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,797936","106,674385"
116,27067,Phường 15,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,796003","106,680501"
117,27070,Phường 10,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,795363","106,671279"
