Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX,Cấp,Tên Tiếng Anh,Latitude,Longitude
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 02,27157,Phường,,"10,767506","106,681674"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 01,27160,Phường,,"10,76824","106,677391"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 15,27163,Phường,,"10,781899","106,665124"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 13,27166,Phường,,"10,779685","106,671546"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 14,27169,Phường,,"10,771488","106,662043"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 12,27172,Phường,,"10,775347","106,674618"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 11,27175,Phường,,"10,77357","106,678784"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 10,27178,Phường,,"10,769079","106,672617"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 09,27181,Phường,,"10,7666","106,671251"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 01,27184,Phường,,"10,765148","106,677498"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 08,27187,Phường,,"10,764936","106,666078"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 02,27190,Phường,,"10,763502","106,674321"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 04,27193,Phường,,"10,763398","106,669602"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 07,27196,Phường,,"10,761262","106,661564"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 05,27199,Phường,,"10,761523","106,666909"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 06,27202,Phường,,"10,762121","106,663661"
Thành phố Hồ Chí Minh,79,Quận 10,771,Phường 03,27205,Phường,,"10,770352","106,67948"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 15,27208,Phường,,"10,769917","106,655952"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 05,27211,Phường,,"10,770861","106,644972"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 14,27214,Phường,,"10,768842","106,648332"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 11,27217,Phường,,"10,766151","106,65044"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 03,27220,Phường,,"10,763543","106,638669"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 10,27223,Phường,,"10,762477","106,643475"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 13,27226,Phường,,"10,764016","106,653952"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 08,27229,Phường,,"10,761365","106,648723"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 09,27232,Phường,,"10,776141","106,651848"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 12,27235,Phường,,"10,761388","106,653009"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 07,27238,Phường,,"10,760713","106,659645"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 06,27241,Phường,,"10,759838","106,654864"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 04,27244,Phường,,"10,758034","106,655176"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 01,27247,Phường,,"10,756895","106,639445"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 02,27250,Phường,,"10,757105","106,645117"
Thành phố Hồ Chí Minh,79,Quận 11,772,Phường 16,27253,Phường,,"10,755876","106,648504"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 12,27256,Phường,,"10,765756","106,705367"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 13,27259,Phường,,"10,762089","106,70985"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 09,27262,Phường,,"10,763259","106,703074"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 06,27265,Phường,,"10,760679","106,700109"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 08,27268,Phường,,"10,759896","106,703058"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 10,27271,Phường,,"10,760497","106,705536"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 05,27274,Phường,,"10,758222","106,698177"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 18,27277,Phường,,"10,7574","106,716973"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 14,27280,Phường,,"10,758196","106,708778"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 04,27283,Phường,,"10,755762","106,703978"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 03,27286,Phường,,"10,754172","106,699669"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 16,27289,Phường,,"10,755377","106,712507"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 02,27292,Phường,,"10,756579","106,695324"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 15,27295,Phường,,"10,754548","106,707818"
Thành phố Hồ Chí Minh,79,Quận 4,773,Phường 01,27298,Phường,,"10,75447","106,6913"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 04,27301,Phường,,"10,761241","106,679939"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 09,27304,Phường,,"10,758531","106,670787"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 03,27307,Phường,,"10,758766","106,679792"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 12,27310,Phường,,"10,756619","106,66106"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 02,27313,Phường,,"10,75657","106,68091"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 08,27316,Phường,,"10,755879","106,670912"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 15,27319,Phường,,"10,755191","106,653675"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 07,27322,Phường,,"10,754019","106,672085"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 01,27325,Phường,,"10,753653","106,682443"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 11,27328,Phường,,"10,753757","106,662749"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 14,27331,Phường,,"10,752408","106,654847"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 05,27334,Phường,,"10,751417","106,675122"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 06,27337,Phường,,"10,751192","106,670476"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 10,27340,Phường,,"10,750727","106,663005"
Thành phố Hồ Chí Minh,79,Quận 5,774,Phường 13,27343,Phường,,"10,749373","106,657232"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 14,27346,Phường,,"10,739591","106,647398"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 13,27349,Phường,,"10,752225","106,628027"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 09,27352,Phường,,"10,752488","106,640576"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 06,27355,Phường,,"10,751933","106,645975"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 12,27358,Phường,,"10,749502","106,632354"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 05,27361,Phường,,"10,748519","106,643755"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 11,27364,Phường,,"10,744757","106,631971"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 02,27367,Phường,,"10,750331","106,650599"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 01,27370,Phường,,"10,746251","106,651519"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 04,27373,Phường,,"10,745976","106,645694"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 08,27376,Phường,,"10,742844","106,639619"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 03,27379,Phường,,"10,742705","106,646334"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 07,27382,Phường,,"10,738889","106,639185"
Thành phố Hồ Chí Minh,79,Quận 6,775,Phường 10,27385,Phường,,"10,737069","106,628266"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 08,27388,Phường,,"10,749823","106,679263"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 02,27391,Phường,,"10,74602","106,686701"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 01,27394,Phường,,"10,746105","106,690732"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 03,27397,Phường,,"10,744113","106,682967"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 11,27400,Phường,,"10,748308","106,66391"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 09,27403,Phường,,"10,746291","106,671197"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 10,27406,Phường,,"10,746383","106,665462"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 04,27409,Phường,,"10,740602","106,676326"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 13,27412,Phường,,"10,745472","106,65593"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 12,27415,Phường,,"10,743303","106,656704"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 05,27418,Phường,,"10,738049","106,666589"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 14,27421,Phường,,"10,73919","106,647323"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 06,27424,Phường,,"10,734478","106,649353"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 15,27427,Phường,,"10,72322","106,631843"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 16,27430,Phường,,"10,717421","106,62191"
Thành phố Hồ Chí Minh,79,Quận 8,776,Phường 07,27433,Phường,,"10,705934","106,62505"
Thành phố Hồ Chí Minh,79,Quận Bình Tân,777,Phường Bình Hưng Hòa,27436,Phường,,"10,805543","106,603626"
